name,price,available,quantity
"Kit Lattafa Ansaam gold (3 pc)",190,true,3
"Kit Lattafa Art Of Nature I (3 pc)",240,true,5
"Kit Lattafa Art Of Universe (3pc)",260,false,
"Kit Lattafa Artisan Ethnique (3pc)",200,true,6
"Kit Lattafa Asad (2pc 100ml cada)",240,false,
"Kit Lattafa Asad preto (perfume 100ml + spray 200ml)",190,true,4
"Kit Lattafa Eternal Oud (3 pc)",250,true,8
"Kit Lattafa Ishq Al Shuyukh Silver (3pc)",240,true,4
"Kit Lattafa king Of Arabia (3 pc)",275,true,6
"Kit Lattafa Mini Badee Al Oud (5pc de 5ml cada)",140,true,8
"Kit Lattafa Nebras (3pc)",240,true,8
"Kit Lattafa Peace E Love (3 pc)",240,true,5
"Kit Lattafa Pisa (3pc)",285,false,0
"Kit Lattafa Queen Of Arabia (3pc)",310,false,
"Kit Lattafa Vintage Radio (3pc)",195,true,4
"Kit Lattafa Yara (4 pc × 25ml)",220,true,
"Lattafa  Eclaire Pistache  100ml(unisex)",180,true,
"Lattafa Afaq Gold 100ml(unissex)",170,true,9
"Lattafa Afeef 100ml(unisex)",370,true,22
"Lattafa Affection Love 100ml(unissex)",190,true,1
"Lattafa Ajwaa 90ml(unissex)",205,true,2
"Lattafa Ajwad 60ml(fem)",110,true,6
"Lattafa Ajwad Pink To Pink 60ml(unisex)",100,true,11
"Lattafa Al Nashama Caprice 100ml(unisex)",140,true,15
"Lattafa Al Noble Ameer 100ml(unisex)",160,true,63
"Lattafa Al Noble Safeer 100ml(unisex)",160,true,50
"Lattafa Al Noble Wazzer 100ml(masc)",160,true,
"Lattafa Al Qiam Gold 100ml(unisex)",145,true,11
"Lattafa Angham 100ml(unissex)",160,true,19
"Lattafa Art Of Nature I 100ml(unissex)",220,true,20
"Lattafa Art Of Nature II 100ml(unissex)",220,true,24
"Lattafa ART Of Universe 100ml(unisex)",210,true,
"Lattafa Art Of Wood 100ml(unissex)",135,true,11
"Lattafa Asad Bourboun 100ml (masc)",205,true,
"Lattafa Asad Elixir 100ml (masc)",230,true,
"Lattafa Asad preto 100 ml (masc)",175,true,
"Lattafa Asad Zanzibar 100ml (masc)",150,true,
"Lattafa Asad zanzibar Limited edition 100ml (masc)",220,true,
"Lattafa Atheeri 100ml(fem)",395,true,16
"Lattafa Badee Al Oud Amethyst 100ml(unissex)",150,true,4
"Lattafa Badee Al Oud Honor e Glory 100ml(unisex)",150,true,19
"Lattafa Badee Al Oud Noble Blush 100ml(fem)",140,true,
"Lattafa Badee Al Oud Oud For Glory 100ml(unisex)",150,true,12
"Lattafa Badee Al Oud Sublime 100ml(unisex)",145,true,
"Lattafa Dalal 100ml(fem)",280,true,30
"Lattafa Dream Of Haze 100ml(unisex)",220,true,
"Lattafa Dynasty 100ml(unisex)",140,true,9
"Lattafa Eclaire 100ml(fem)",170,true,17
"Lattafa Eclaire Banoffi 100ml(fem)",185,true,
"Lattafa Emaan 100ml(fem)",135,true,25
"Lattafa Emeer 100ml(unisex)",260,true,
"Lattafa Eternal Oud 100ml(unisex)",160,true,34
"Lattafa Eternal Vanille 100ml(unissex)",220,true,9
"Lattafa Fakhar Black 100ml (masc)",180,true,
"Lattafa Fakhar gold extrait 100ml",160,true,
"Lattafa Fakhar prata 100ml (masc)",160,true,
"Lattafa Fakhar rose 100ml (fem)",220,true,
"Lattafa Fire On Ice 100ml(unisex)",145,true,22
"Lattafa Give Me Gourmand Berry On Top 75ml(fem)",230,true,9
"Lattafa Give Me Gourmand Choco Overdose 75ml(fem)",230,true,9
"Lattafa Give Me Gourmand Cookie Crave 75ml(fem)",230,true,8
"Lattafa Give Me Gourmand Mallow Maddnes 75ml(fem)",230,true,10
"Lattafa Give Me Gourmand Vanilla Freak 75ml(fem)",230,true,31
"Lattafa Give Me Gourmand Whipped Pleasure 75ml(fem)",230,true,10
"Lattafa Habik 100ml(masc)",135,true,8
"Lattafa Habik Pink 100ml(fem)",185,true,22
"Lattafa Haya 100ml(fem)",145,false,0
"Lattafa Hayaati Gold Elixir 100ml(unisex)",100,true,9
"Lattafa Hayaati preto 100ml (unisex)",130,true,
"Lattafa Her Confession 100ml(fem)",195,true,
"Lattafa His Confession 100ml(masc)",170,true,28
"Lattafa Ishq Al Shuyukh Gold 100ml(unisex)",160,true,
"Lattafa Jasoor 100ml(masc)",145,true,11
"Lattafa Khamrah Dukhan 100ml(unisex)",185,true,9
"Lattafa khamrah preto 100ml(masc)",185,true,41
"Lattafa Khamrah Qahwa 100ml(fem)",185,true,8
"Lattafa Kids Happy Brush 75ml",80,true,3
"Lattafa Kids Happy Time 75ml",80,true,2
"Lattafa Kids Sing 75ml",80,true,36
"Lattafa Kids Stop Wait Go 75ml",80,true,8
"Lattafa King of Arabia 100ml(unissex)",210,true,10
"Lattafa Lahdath 80ml(fem)",150,true,9
"Lattafa Lail Maleki 100ml(unissex)",105,true,7
"Lattafa Layaan 75ml(fem)",180,false,0
"Lattafa Maahir Legacy 100ml(masc)",200,true,
"Lattafa Maharjan Silver 100ml(unisex)",160,true,
"Lattafa Mayar Cherry Intense 100ml(fem)",160,true,
"Lattafa Mayar Natural intense 100ml(fem)",160,true,
"Lattafa Mayar rosa tradicional 100ml(fem)",150,true,8
"Lattafa Mishlah 100ml(masc)",170,true,10
"Lattafa Mohra Silky Rose 100ml(fem)",110,false,
"Lattafa Musamam Black Intense 100ml(unissex)",300,true,4
"Lattafa Musamam White Intense 100ml(fem)",270,true,8
"Lattafa Nasmaat 100ml(unisex)",135,true,1
"Lattafa Nebras Elixir 100ml (fem)",270,true,
